Multiplexes 1-5,,,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5
PPO#,Group & ID,,TAWH252 (156bp),TAWH252 (156bp),TAWH111(243bp),TAWH111(243bp),TAWH7 (216bp),TAWH7 (216bp),TAWH240 (245bp) ,TAWH240 (245bp) ,TAWH104 (150bp),TAWH104 (150bp),TAWH 269 (247bp),TAWH 269 (247bp),TAWH191 (101bp),TAWH191 (101bp),TAWH33 (247bp),TAWH33 (247bp),TAWH138 (207bp),TAWH138 (207bp),TAWH84 (246bp),TAWH84 (246bp)
,,Alleles,Allele1,Allele2,Allele1,Allele2,Allele1,Allele2,Allele1,Allele2,Allele1,Allele2,Allele1,Allele2,Allele1,Allele2,Allele1,Allele2,Allele1,Allele2,Allele1,Allele2
1945,BW7,Peak,159.25,159.25,265.81*,265.81*,233.73,241.49,214.66*,221.66*,153.03,153.03,338.33,338.33,101.91,101.91,244.75,249.31,210.38,210.38,248.47,248.47
,,Real,160,160,266,266,232,240,213,221,152,152,339,339,101,101,244,248,211,211,248,248
2579 (blood),tn5 chick,Peak,160.33,160.33,266.79,266.79,241.24,245.59,214.65*,221.60*,153.43,153.43,330.3,330.3,101.76,101.76,244.72,248.95,211.5*,211.5*,248.29,248.29
,,Real,160,160,266,266,240,244,213,221,152,152,331,331,101,101,244,248,211,211,248,248
2603 (blood),tn2 chick,Peak,160.33,160.33,266.82,266.82,233.71,245.58,214.59*,221.56*,153.57*,156.47*,335.01*,339.19*,101.77,101.77,244.69,248.94,210.34*,210.34*,248.29,248.29
,,Real,160,160,266,266,232,244,213,221,152,156,335,339,101,101,244,248,211,211,248,248
2607 (blood),tn1 chick,Peak,152.56,160.34,266.85,266.85,233.8,241.43,214.65*,214.65*,141,153.37,330.24,338.32,101.77,101.77,244.75,248.94,212.34*,212.34*,248.21*,248.21*
,,Real,152,160,266,266,232,240,213,213,140,152,331,339,101,101,244,248,211,211,248,248
2609 (blood),tn4 chick,Peak,156.48*,160.33*,266.82,266.82,233.86,241.34,214.63*,214.63*,140.93,153.37,330.18,330.18,101.85,101.85,244.78,248.94,0,0,0,0
,,Real,156,160,266,266,232,240,213,213,140,152,331,331,101,101,244,248,0,0,0,0
2610 (blood),tn3 chick,Peak,151.32*,151.32*,266.1*,271.12*,241.47,241.47,214.64*,221.72*,153.4,153.4,331.22,331.22,101.76,101.76,244.7,248.94,210.35,210.35,248.38,248.38
,,Real,152,152,266,270,240,240,213,221,152,152,331,331,101,101,244,248,211,211,248,248
